symbol,accuracy
00_USD,0.74375
00_USD,0.74375
1INCH_USD,0.7829457364341085
A8_USD,0.7285714285714285
AAVE_USD,0.7346613545816733
00_USD,0.711764705882353
A8_USD,0.775023832221163
1INCH_USD,0.7344827586206897
AAVE_USD,0.7653631284916201
ABT_USD,0.7549815498154981
ACH_USD,0.6989708404802745
ACS_USD,0.9615861214374225
ADA_USD,0.7319090282563749
AERGO_USD,0.7168405365126677
AGLD_USD,0.7022538552787663
AIOZ_USD,0.7438345266507558
AERO_USD,0.7678207739307535
AKT_USD,0.7073981712385703
ALCX_USD,0.7633779264214047
ALEPH_USD,0.7230320699708455
ALGO_USD,0.7366597366597366
ALICE_USD,0.7417840375586855
AMP_USD,0.7937701396348013
ANKR_USD,0.7576547231270359
API3_USD,0.7323193916349809
APE_USD,0.7202007528230866
ARPA_USD,0.7793296089385475
ASM_USD,0.716820987654321
ARKM_USD,0.7242497972424979
AST_USD,0.6391982182628062
ATOM_USD,0.7619047619047619
AUCTION_USD,0.7684729064039408
AUDIO_USD,0.7389121338912134
AVAX_USD,0.7579250720461095
AVT_USD,0.7824817518248175
AXS_USD,0.7057890563045203
BAL_USD,0.749031007751938
BADGER_USD,0.7709750566893424
BAND_USD,0.7563291139240507
BAT_USD,0.6956521739130435
BCH_USD,0.8323016319639842
BIGTIME_USD,0.6882430647291942
BICO_USD,0.7380392156862745
BLUR_USD,0.7549467275494672
BLZ_USD,0.8002421307506054
BOBA_USD,0.7905629139072847
BONK_USD,0.6946366782006921
BNT_USD,0.7737083060824068
BTC_USD,0.8566958698372966
BTRST_USD,0.6566265060240963
CHZ_USD,0.7202283849918434
CLV_USD,0.8522427440633246
COTI_USD,0.7205750224618149
CRO_USD,0.7649006622516556
CTX_USD,0.8143382352941176
CTSI_USD,0.7888888888888889
CRV_USD,0.6919934640522876
CVC_USD,0.7740345110928513
CVX_USD,0.7234234234234235
DASH_USD,0.6972833117723156
DIA_USD,0.7054187192118226
DIMO_USD,0.6934812760055479
DEXT_USD,0.7832
DNT_USD,0.707196029776675
DOGE_USD,0.7628424657534246
DOT_USD,0.7413622902270484
EGLD_USD,0.7681007345225603
ELA_USD,0.8054054054054054
ENS_USD,0.7627573858549687
EOS_USD,0.7299270072992701
ETC_USD,0.7979166666666667
ETH_USD,0.8053097345132744
FARM_USD,0.8113026819923371
FET_USD,0.7041343669250646
FIDA_USD,0.7433962264150943
FIL_USD,0.7364864864864865
FIS_USD,0.7047413793103449
FLOW_USD,0.8278867102396514
FLR_USD,0.7961053837342497
FORTH_USD,0.7302823758519961
FOX_USD,0.7827004219409283
GHST_USD,0.8133640552995391
GFI_USD,0.9876416065911432
GLM_USD,0.7728310502283106
GNO_USD,0.7950191570881227
GODS_USD,0.7596153846153846
GTC_USD,0.9588688946015425
HBAR_USD,0.7729257641921398
G_USD,0.8787584869059166
HIGH_USD,0.7847058823529411
HNT_USD,0.7604994324631101
HOPR_USD,0.8232118758434548
ICP_USD,0.729456384323641
IDEX_USD,0.7580993520518359
ILV_USD,0.7691292875989446
INDEX_USD,0.7877551020408163
INJ_USD,0.7678571428571429
INV_USD,0.8455743879472694
JASMY_USD,0.717219589257504
00_USD,0.6990595611285266
A8_USD,0.7248322147651006
1INCH_USD,0.7421875
ABT_USD,0.7350111028867505
ACH_USD,0.7090128755364807
AAVE_USD,0.7201283079390537
