symbol,accuracy
EURC_USD,0.839622641509434
ENJ_USD,0.8095238095238095
ERN_USD,0.8055555555555556
C1INCH_USD,0.671957671957672
DYP_USD,0.5833333333333334
C00_USD,0.5225806451612903
C2Z_USD,0.264367816091954
COVAL_USD,0.8846153846153846
DESO_USD,1.0
AAVE_USD,0.9066228390552716
ACS_USD,0.882409972299169
ABT_USD,0.8975036322810725
ACX_USD,0.9131125827814568
ADA_USD,0.9143424828905732
AERO_USD,0.9112008072653884
AIOZ_USD,0.9126984126984128
ALEO_USD,0.9298537234042552
ALCX_USD,0.9072491730981256
AKT_USD,0.9142693573779876
ALEPH_USD,0.927348116098792
ALLO_USD,0.9340885684860968
ALICE_USD,0.9133180252583236
ALT_USD,0.9242477876106194
ANKR_USD,0.9104887424492036
AMP_USD,0.9052698614870244
API3_USD,0.9059391456992392
APR_USD,0.9062937062937064
ARKM_USD,0.9072228185861064
APT_USD,0.9036223355564272
ARB_USD,0.9223264540337712
ARPA_USD,0.8850139825629215
ASM_USD,0.8965938390555028
ATH_USD,0.9246629659000792
AST_USD,0.884032634032634
ATOM_USD,0.912936760034652
AUCTION_USD,0.9128787878787878
AUDIO_USD,0.8914141414141414
AURORA_USD,0.9071637426900584
AVAX_USD,0.9094511300264162
AWE_USD,0.9276517473942366
AVNT_USD,0.918165989553105
AVT_USD,0.8936020623388797
AXL_USD,0.8988280670523661
B3_USD,0.9237557359689376
AXS_USD,0.9002874867604781
BAL_USD,0.8978431700384552
BARD_USD,0.934758155230596
BAND_USD,0.8970001477759716
BEAM_USD,0.0
BAT_USD,0.9089364112731908
BCH_USD,0.8951284849687469
BIRB_USD,0.938953488372093
BIO_USD,0.923162583518931
BICO_USD,0.896562123039807
BLZ_USD,0.8994550887677975
BNB_USD,0.9022421524663676
BNKR_USD,0.9259927797833934
BLUR_USD,0.9079963880806662
BOBBOB_USD,0.9266155531215772
BOBA_USD,0.9154465592972182
BREV_USD,0.9105058365758756
BNT_USD,0.8962059620596206
BONK_USD,0.9129378127233738
CAKE_USD,0.9131221719457012
BTRST_USD,0.8853406326034063
C98_USD,0.904392539654872
CELR_USD,0.7777777777777778
BTC_USD,0.9061335982120684
CLANKER_USD,0.910488245931284
CHZ_USD,0.9006995393277598
CLV_USD,0.9150100513736876
COMP_USD,0.9076
COOKIE_USD,0.9218989280245024
CORECHAIN_USD,0.922656508777741
COSMOSDYDX_USD,0.9234234234234234
COW_USD,0.9157762413576368
CRO_USD,0.9156144781144782
COTI_USD,0.920736257358428
CTSI_USD,0.9066535239034008
CTX_USD,0.911504424778761
CRV_USD,0.9186867398145786
CVC_USD,0.9056334940815433
DAI_USD,0.8458781362007168
CVX_USD,0.913835493965132
DBR_USD,0.9435957696827262
DASH_USD,0.9087686126211296
DEXT_USD,0.8579254930606282
DIA_USD,0.906028121954615
DIMO_USD,0.93640081799591
DNT_USD,0.9061957151129124
DOOD_USD,0.8823529411764706
DOLO_USD,0.90936329588015
DRIFT_USD,0.9217662147306706
DOT_USD,0.91377051706866
ELSA_USD,0.9154078549848944
ELA_USD,0.8883897719419489
ENA_USD,0.9144028703229112
ENS_USD,0.9117212872748746
EOS_USD,0.8981547704191103
ERA_USD,0.928409090909091
BERA_USD,0.9190140845070424
EUL_USD,0.922680412371134
ETC_USD,0.9047132456252396
FAI_USD,0.9214285714285714
FARTCOIN_USD,0.8980203959208158
FARM_USD,0.902231668437832
FET_USD,0.9140761439049948
FIDA_USD,0.9128537423961914
ETHFI_USD,0.922002888781897
