symbol,approved_trades,baseline_return,strategy_return,baseline_sharpe,strategy_sharpe,baseline_max_dd,strategy_max_dd,status,aggregation_date
CVC,321,-35.22,1643.33,-1.21,12.15,-46.27,-5.9,Active,2026-04-04
AMP,104,-48.0,668.72,-1.77,8.53,-50.84,-2.08,Active,2026-04-04
ALICE,18,-57.98,4693.64,-1.49,14.54,-60.32,-2.53,Active,2026-04-04
BTC,0,-21.15,289.12,-1.04,10.1,-35.24,-0.41,No Trades,2026-04-04
AUDIO,14,-45.03,728.74,-2.41,11.23,-45.66,-2.7,Active,2026-04-04
BOBA,5,-52.41,1513.28,-0.39,8.8,-70.87,-5.81,Active,2026-04-04
KARRAT,373,-66.67,472.39,-1.55,6.53,-74.4,-14.3,Active,2026-04-04
DEXT,221,-40.79,72534.47,-0.85,11.6,-45.52,-7.58,Active,2026-04-04
COTI,1,-56.79,8866.39,-2.31,16.6,-62.83,-0.83,Active,2026-04-04
ACX,3,-29.26,3349.86,-0.09,11.77,-47.4,0.0,Active,2026-04-04
DRIFT,33,-67.11,16967.13,-2.45,16.21,-70.59,-5.69,Active,2026-04-04
DOT,0,-41.94,2662.99,-1.02,13.84,-47.63,-1.26,No Trades,2026-04-04
ALGO,1,-42.41,2121.5,-1.62,15.96,-43.98,-0.88,Active,2026-04-04
KRL,0,-28.77,99.84,-3.02,8.62,-33.55,-0.45,No Trades,2026-04-04
GTC,78,-45.8,441.16,-1.08,7.4,-53.65,-1.38,Active,2026-04-04
AXL,37,-63.97,16783.24,-0.87,9.84,-74.75,-9.62,Active,2026-04-04
INDEX,157,-57.81,191.95,-2.04,5.91,-60.61,-6.28,Active,2026-04-04
IMX,281,-53.62,3493.15,-1.74,19.88,-55.35,-3.49,Active,2026-04-04
AVAX,0,-35.76,2218.24,-1.27,13.92,-44.91,0.0,No Trades,2026-04-04
BIGTIME,3,-47.25,1389.38,-1.6,15.75,-49.46,-2.46,Active,2026-04-04
MATH,153,-48.63,1600.67,-1.59,9.31,-55.42,-7.93,Active,2026-04-04
HFT,5,-65.78,4041.44,-3.0,17.12,-66.75,-2.13,Active,2026-04-04
BAND,0,-45.66,3024.6,-1.65,11.78,-56.47,-1.38,No Trades,2026-04-04
BONK,7,-39.07,13856.81,-0.87,16.37,-54.13,-0.62,Active,2026-04-04
LRC,0,-56.99,602.97,-2.02,5.88,-65.97,-2.64,No Trades,2026-04-04
HIGH,5,-49.4,1477.98,-2.07,12.09,-51.34,-0.43,Active,2026-04-04
MAGIC,131,-44.95,1084.23,-1.3,10.35,-52.16,-4.16,Active,2026-04-04
