symbol,passed,failed,total,last_active
FET,18,12,30,"2026-04-17 10:58:47,707"
FIDA,0,10,10,"2026-04-17 10:54:09,463"
FIGHT,0,9,9,"2026-04-17 10:40:00,486"
FIL,0,9,9,"2026-04-17 10:50:44,595"
FIS,11,17,28,"2026-04-17 10:36:12,865"
FLOCK,0,8,8,"2026-04-17 10:06:29,493"
FLOKI,0,6,6,"2026-04-17 10:59:27,997"
FLOW,0,12,12,"2026-04-17 10:02:07,388"
FLR,0,9,9,"2026-04-17 10:34:56,993"
FLUID,0,6,6,"2026-04-17 10:35:47,632"
FORT,0,7,7,"2026-04-17 08:36:49,638"
FORTH,0,8,8,"2026-04-17 10:39:20,002"
FOX,0,10,10,"2026-04-17 10:55:56,679"
FUN1,0,7,7,"2026-04-17 09:59:26,208"
G,27,18,45,"2026-04-17 10:36:10,428"
GFI,0,8,8,"2026-04-17 10:36:16,617"
GHST,0,4,4,"2026-04-17 08:15:21,996"
GIGA,0,5,5,"2026-04-17 10:00:37,812"
GLM,0,13,13,"2026-04-17 10:59:49,686"
GMT,0,5,5,"2026-04-17 10:04:08,147"
GNO,0,9,9,"2026-04-17 11:11:13,564"
GODS,0,8,8,"2026-04-17 11:09:32,658"
GRT,0,8,8,"2026-04-17 10:54:08,416"
GST,0,13,13,"2026-04-17 10:50:15,600"
GTC,0,8,8,"2026-04-17 10:35:55,498"
HBAR,0,9,9,"2026-04-17 10:34:16,125"
HFT,0,10,10,"2026-04-17 10:56:38,792"
HIGH,0,10,10,"2026-04-17 10:35:43,730"
HNT,0,7,7,"2026-04-17 10:07:48,297"
HOME,7,18,25,"2026-04-17 10:50:24,737"
HOPR,0,11,11,"2026-04-17 11:14:45,252"
HYPE,0,9,9,"2026-04-17 10:56:10,360"
HYPER,0,7,7,"2026-04-17 10:51:55,039"
ICP,0,11,11,"2026-04-17 10:56:07,835"
IDEX,0,2,2,"2026-04-17 07:04:01,803"
ILV,0,10,10,"2026-04-17 10:45:42,527"
IMU,6,15,21,"2026-04-17 09:53:52,971"
IMX,0,12,12,"2026-04-17 10:53:47,090"
INDEX,0,1,1,"2026-04-17 09:47:19,176"
INJ,0,9,9,"2026-04-17 10:52:15,120"
INV,0,2,2,"2026-04-17 11:08:32,367"
INX,0,8,8,"2026-04-17 10:35:11,219"
IOTX,20,15,35,"2026-04-17 11:17:46,808"
IRYS,0,9,9,"2026-04-17 10:34:54,600"
JASMY,0,7,7,"2026-04-17 10:59:09,466"
JTO,0,9,9,"2026-04-17 10:53:50,795"
KARRAT,0,3,3,"2026-04-17 09:24:10,538"
KAVA,0,11,11,"2026-04-17 10:04:06,705"
KNC,0,8,8,"2026-04-17 09:52:32,334"
KRL,0,7,7,"2026-04-17 10:35:46,166"
KSM,0,9,9,"2026-04-17 10:49:34,061"
LCX,0,10,10,"2026-04-17 10:51:05,923"
LDO,0,9,9,"2026-04-17 11:04:40,122"
LINK,0,9,9,"2026-04-17 11:02:59,733"
LPT,0,8,8,"2026-04-17 10:47:12,984"
LQTY,0,9,9,"2026-04-17 10:44:41,860"
LRC,0,10,10,"2026-04-17 10:49:35,187"
LRDS,0,9,9,"2026-04-17 10:03:48,135"
LSETH,0,4,4,"2026-04-17 09:59:55,126"
LTC,0,8,8,"2026-04-17 10:56:09,140"
MAGIC,0,9,9,"2026-04-17 10:54:06,060"
MANA,0,6,6,"2026-04-17 10:53:57,100"
MASK,0,4,4,"2026-04-17 08:05:47,575"
MATH,0,12,12,"2026-04-17 11:04:10,128"
MDT,0,9,9,"2026-04-17 11:10:33,154"
METIS,0,13,13,"2026-04-17 10:53:27,275"
MINA,9,19,28,"2026-04-17 10:59:30,188"
MLN,0,6,6,"2026-04-17 10:02:27,379"
MNDE,0,1,1,"2026-04-17 07:11:15,428"
MSOL,0,10,10,"2026-04-17 11:04:20,255"
NCT,0,10,10,"2026-04-17 10:55:47,859"
NEAR,0,9,9,"2026-04-17 11:01:42,450"
NEON,0,10,10,"2026-04-17 10:46:12,514"
NKN,0,12,12,"2026-04-17 10:56:16,785"
NMR,0,7,7,"2026-04-17 10:59:17,736"
OCEAN,0,10,10,"2026-04-17 08:54:58,906"
OGN,0,7,7,"2026-04-17 10:02:01,437"
OMNI,0,13,13,"2026-04-17 09:37:26,415"
ONDO,0,9,9,"2026-04-17 11:01:38,754"
OP,0,7,7,"2026-04-17 09:58:54,691"
ORCA,0,9,9,"2026-04-17 10:53:49,610"
OSMO,0,9,9,"2026-04-17 11:11:03,465"
OXT,0,9,9,"2026-04-17 09:59:24,748"
PERP,0,10,10,"2026-04-17 10:37:49,385"
PIRATE,0,3,3,"2026-04-17 06:26:47,303"
PLU,0,6,6,"2026-04-17 07:01:00,687"
PNG,0,13,13,"2026-04-17 11:06:31,134"
POL,0,8,8,"2026-04-17 10:54:56,215"
POLS,0,9,9,"2026-04-17 09:51:22,905"
POND,0,9,9,"2026-04-17 10:35:54,228"
POWR,0,7,7,"2026-04-17 10:54:36,040"
PRIME,0,8,8,"2026-04-17 11:02:29,271"
PRO,0,12,12,"2026-04-17 10:35:34,221"
PUNDIX,0,9,9,"2026-04-17 10:06:58,427"
PYR,0,10,10,"2026-04-17 10:35:49,068"
QI,0,7,7,"2026-04-17 09:55:13,078"
QNT,0,9,9,"2026-04-17 10:49:44,471"
RAD,0,10,10,"2026-04-17 10:48:33,383"
RARE,0,10,10,"2026-04-17 10:52:38,161"
RARI,0,7,7,"2026-04-17 09:42:28,154"
RENDER,0,9,9,"2026-04-17 11:04:31,254"
REQ,0,11,11,"2026-04-17 11:07:01,603"
RLC,0,10,10,"2026-04-17 10:47:43,505"
ROSE,0,11,11,"2026-04-17 10:52:27,445"
RPL,0,10,10,"2026-04-17 10:59:39,418"
SAFE,36,24,60,"2026-04-17 10:52:25,182"
SAND,0,8,8,"2026-04-17 10:47:03,145"
SD,0,10,10,"2026-04-17 11:03:39,833"
SEAM,0,11,11,"2026-04-17 11:12:24,116"
SEI,0,13,13,"2026-04-17 10:53:45,733"
SHDW,0,1,1,"2026-04-17 04:37:23,580"
SHIB,0,10,10,"2026-04-17 10:50:54,470"
SHPING,0,9,9,"2026-04-17 10:02:36,505"
SKL,0,10,10,"2026-04-17 11:10:04,832"
SNX,0,9,9,"2026-04-17 10:50:14,404"
SOL,30,21,51,"2026-04-17 11:04:32,534"
SPA,0,6,6,"2026-04-17 10:36:06,901"
