symbol,timestamp,outcome,entry_price,detail
IDEX,2026-04-14T07:55:56-07:00,HIT,0.0024999999441206455,4.066666666666666
AST,2026-04-14T09:13:55-07:00,WAITING,0.0071,-7.042253521126766
AKT,2026-04-14T09:27:19-07:00,HIT,0.45899999141693115,1067.6833333333334
A8,2026-04-14T10:27:10-07:00,HIT,0.01080000028014183,1507.8333333333333
CRV,2026-04-14T13:48:17-07:00,HIT,0.2125999927520752,46.71666666666667
AST,2026-04-14T14:02:13-07:00,HIT,0.006500000134110451,42.78333333333333
ELA,2026-04-14T18:03:01-07:00,HIT,0.44200000166893005,6.983333333333333
AVT,2026-04-14T18:44:26-07:00,HIT,0.5600000023841858,110.56666666666666
FOX,2026-04-14T19:16:30-07:00,HIT,0.006550000049173832,43.5
IDEX,2026-04-14T19:56:21-07:00,HIT,0.0024999999441206455,448.65
A8,2026-04-14T19:56:53-07:00,HIT,0.010300000198185444,3.1166666666666667
DIMO,2026-04-14T19:57:33-07:00,HIT,0.01213,407.45
DNT,2026-04-14T21:35:39-07:00,HIT,0.007300000172108412,44.35
AVT,2026-04-15T08:09:18-07:00,HIT,0.5600000023841858,0.7
DNT,2026-04-15T09:15:44-07:00,HIT,0.007499999832361937,599.2666666666667
AERO,2026-04-15T09:53:38-07:00,HIT,3.2516749342903495e-05,321.3666666666667
AST,2026-04-15T10:22:57-07:00,HIT,0.007000000216066837,702.05
AVT,2026-04-15T14:41:33-07:00,HIT,0.5699999928474426,328.45
DIMO,2026-04-15T18:54:39-07:00,WAITING,0.01209,-0.24813895781638143
AERO,2026-04-15T19:20:02-07:00,HIT,3.4424123441567644e-05,419.96666666666664
AST,2026-04-15T19:26:50-07:00,HIT,0.0066999997943639755,153.16666666666666
ABT,2026-04-15T20:07:21-07:00,HIT,0.3064,1177.65
POLS,2026-04-15T20:20:40-07:00,HIT,0.0532,1304.3333333333333
AKT,2026-04-15T20:49:22-07:00,HIT,0.4860000014305115,55.63333333333333
DNT,2026-04-15T20:50:02-07:00,HIT,0.007699999958276749,4.966666666666667
DIMO,2026-04-15T22:36:57-07:00,WAITING,0.01206,0.0
AERO,2026-04-15T22:51:03-07:00,HIT,3.422492227400653e-05,133.95
AST,2026-04-15T23:00:41-07:00,HIT,0.006899999920278788,4.316666666666666
ABT,2026-04-15T23:31:47-07:00,HIT,0.3025,968.2166666666667
ACH,2026-04-15T23:41:05-07:00,HIT,0.006113999988883734,393.9166666666667
AVT,2026-04-16T00:14:28-07:00,HIT,0.58,1920.5333333333333
AGLD,2026-04-16T00:46:44-07:00,HIT,0.26429998874664307,328.26666666666665
DNT,2026-04-16T01:06:10-07:00,HIT,0.007499999832361937,123.83333333333333
DIMO,2026-04-16T01:50:54-07:00,WAITING,0.01205,0.08298755186721653
AKT,2026-04-16T02:42:46-07:00,HIT,0.49799999594688416,107.23333333333333
AST,2026-04-16T03:13:40-07:00,HIT,0.0066999997943639755,106.33333333333333
ABT,2026-04-16T04:22:52-07:00,HIT,0.2919999957084656,-2.8666666666666667
AERO,2026-04-16T04:50:45-07:00,HIT,3.517893492244184e-05,24.25
DNT,2026-04-16T05:01:25-07:00,HIT,0.007400000002235174,118.58333333333333
AST,2026-04-16T06:22:13-07:00,HIT,0.006800000090152025,577.7833333333333
AKT,2026-04-16T06:42:28-07:00,HIT,0.5120000243186951,312.53333333333336
AIOZ,2026-04-16T07:23:29-07:00,HIT,0.05849999934434891,21.516666666666666
A8,2026-04-16T08:02:00-07:00,HIT,0.010599999688565731,228.0
IDEX,2026-04-16T08:02:08-07:00,HIT,0.002300000051036477,67.86666666666666
DNT,2026-04-16T08:16:30-07:00,HIT,0.007300000172108412,43.5
00,2026-04-16T09:02:26-07:00,HIT,0.0047,-2.433333333333333
ABT,2026-04-16T11:26:16-07:00,HIT,0.27250000834465027,58.733333333333334
AST,2026-04-16T11:26:37-07:00,HIT,0.0066999997943639755,8.383333333333333
DIMO,2026-04-16T11:43:47-07:00,HIT,0.01203,1491.2166666666667
AKT,2026-04-16T13:05:41-07:00,WAITING,0.515,-11.456310679611649
DNT,2026-04-16T14:04:55-07:00,HIT,0.0075,210.08333333333334
AST,2026-04-16T19:45:51-07:00,HIT,0.0066,74.15
ASM,2026-04-16T20:35:24-07:00,HIT,0.00665,329.6
DNT,2026-04-16T20:36:11-07:00,HIT,0.0076,443.81666666666666
